smnno,amount,typeid,month,year
SP0060,464041,1,1,2014
SP0062,330000,1,1,2014
SP0068,621346,1,1,2014
SP0071,167000,1,1,2014
SP0072,98336,1,1,2014
SP0073,85000,1,1,2014
SP0075,415001,1,1,2014
SP0077,9256,1,1,2014
SP0079,171734,1,1,2014
SP0081,446731,1,1,2014
SP0082,312911,1,1,2014
SP0084,175000,1,1,2014
SP0085,1029319,1,1,2014
SP0086,797000,1,1,2014
SP0087,177667,1,1,2014
SP0089,19590,1,1,2014
SP0093,689000,1,1,2014
SP0094,180000,1,1,2014
SP0096,181251,1,1,2014
SP0098,120821,1,1,2014
SP0099,464709,1,1,2014
SP0100,303695,1,1,2014
SP0101,215508,1,1,2014
SP0105,14672,1,1,2014
SP0106,212949,1,1,2014
SP0107,150002,1,1,2014
SP0108,14000,1,1,2014
SP0110,104003,1,1,2014
SP0114,655701,1,1,2014
SP0119,385286,1,1,2014
SP0120,187926,1,1,2014
SP0121,50710,1,1,2014
SP0124,73000,1,1,2014
SP0126,17165,1,1,2014
SP0127,253264,1,1,2014
SP0128,113094,1,1,2014
SP0129,,1,1,2014
SP0130,210952,1,1,2014
SP0131,368000,1,1,2014
SP0133,161500,1,1,2014
SP0135,462000,1,1,2014
SP0136,270993,1,1,2014
SP0137,212000,1,1,2014
SP0140,95501,1,1,2014
SP0141,78917,1,1,2014
SP0143,60771,1,1,2014
SP0145,410000,1,1,2014
SP0146,401000,1,1,2014
SP0148,80000,1,1,2014
SP0149,119840,1,1,2014
SP0150,46739,1,1,2014
SP0151,216362,1,1,2014
SP0153,154005,1,1,2014
SP0155,59000,1,1,2014
SP0156,292564,1,1,2014
SP0157,293433,1,1,2014
SP0158,,1,1,2014
SP0160,58270,1,1,2014
SP0163,8595,1,1,2014
SP0164,542390,1,1,2014
SP0165,286037,1,1,2014
SP0166,320000,1,1,2014
SP0167,317237,1,1,2014
SP0168,72000,1,1,2014
SP0169,238000,1,1,2014
SP0170,119468,1,1,2014
SP0171,127411,1,1,2014
SP0172,333248,1,1,2014
SP0179,172998,1,1,2014
SP0180,21129,1,1,2014
SP0181,63787,1,1,2014
SP0182,215667,1,1,2014
SP0184,552000,1,1,2014
SP0188,61927,1,1,2014
SP0189,480002,1,1,2014
SP0192,96417,1,1,2014
SP0194,-97235,1,1,2014
SP0196,87486,1,1,2014
SP0198,483334,1,1,2014
SP0199,423000,1,1,2014
SP0200,180431,1,1,2014
SP0201,138478,1,1,2014
SP0202,564840,1,1,2014
SP0203,10000,1,1,2014
SP0204,75000,1,1,2014
SP0205,30974,1,1,2014
SP0206,111400,1,1,2014
SP0207,90000,1,1,2014
SP0208,75861,1,1,2014
SP0210,76809,1,1,2014
SP0213,76612,1,1,2014
SP0214,123339,1,1,2014
SP0220,420013,1,1,2014
SP0221,338000,1,1,2014
SP0222,99140,1,1,2014
SP0225,350000,1,1,2014
SP0226,287026,1,1,2014
SP0227,200002,1,1,2014
SP0228,120003,1,1,2014
SP0229,196300,1,1,2014
SP0230,323999,1,1,2014
SP0231,110650,1,1,2014
SP0232,166756,1,1,2014
SP0234,206403,1,1,2014
SP0236,126000,1,1,2014
SP0237,201630,1,1,2014
SP0238,251301,1,1,2014
SP0239,76608,1,1,2014
SP0241,640040,1,1,2014
SP0243,340765,1,1,2014
SP0245,29989,1,1,2014
SP0249,94022,1,1,2014
SP0250,342000,1,1,2014
SP0251,148003,1,1,2014
SP0254,130000,1,1,2014
SP0255,365000,1,1,2014
SP0258,597000,1,1,2014
SP0259,325968,1,1,2014
SP0260,23051,1,1,2014
SP0262,327100,1,1,2014
SP0265,-182246,1,1,2014
SP0267,353423,1,1,2014
SP0268,560704,1,1,2014
SP0269,206667,1,1,2014
SP0270,125256,1,1,2014
SP0271,,1,1,2014
SP0272,444287,1,1,2014
SP0273,1090000,1,1,2014
SP0274,643559,1,1,2014
SP0276,204774,1,1,2014
SP0277,233770,1,1,2014
SP0279,514003,1,1,2014
SP0280,760798,1,1,2014
SP0282,267003,1,1,2014
SP0283,332449,1,1,2014
SP0285,504857,1,1,2014
SP0286,1440000,1,1,2014
SP0292,480294,1,1,2014
SP0297,650000,1,1,2014
SP0299,162080,1,1,2014
SP0304,73020,1,1,2014
SP0307,366676,1,1,2014
SP0308,350071,1,1,2014
SP0309,172776,1,1,2014
SP0310,310,1,1,2014
SP0312,180870,1,1,2014
SP0313,305000,1,1,2014
SP0316,191128,1,1,2014
SP0317,40841,1,1,2014
SP0318,595000,1,1,2014
SP0319,81000,1,1,2014
SP0321,83451,1,1,2014
SP0322,188671,1,1,2014
SP0323,85004,1,1,2014
SP0324,353000,1,1,2014
SP0325,205517,1,1,2014
SP0327,426256,1,1,2014
SP0330,280001,1,1,2014
SP0333,259795,1,1,2014
SP0334,378752,1,1,2014
SP0335,127600,1,1,2014
SP0336,145000,1,1,2014
SP0337,104000,1,1,2014
SP0341,446736,1,1,2014
SP0342,30000,1,1,2014
SP0343,455000,1,1,2014
SP0344,190000,1,1,2014
SP0345,97737,1,1,2014
SP0346,669000,1,1,2014
SP0347,460667,1,1,2014
SP0349,900000,1,1,2014
SP0351,173513,1,1,2014
SP0352,196924,1,1,2014
SP0353,975500,1,1,2014
SP0355,214000,1,1,2014
SP0357,6333,1,1,2014
SP0361,107000,1,1,2014
SP0362,96513,1,1,2014
SP0363,114600,1,1,2014
SP0365,100000,1,1,2014
SP0368,88000,1,1,2014
SP0369,96009,1,1,2014
SP0371,,1,1,2014
SP0372,182758,1,1,2014
SP0373,300000,1,1,2014
SP0374,338977,1,1,2014
SP0376,634051,1,1,2014
SP0377,485000,1,1,2014
SP0378,418436,1,1,2014
SP0379,218718,1,1,2014
SP0380,613670,1,1,2014
SP0382,560756,1,1,2014
SP0383,366744,1,1,2014
SP0384,784000,1,1,2014
SP0386,270166,1,1,2014
SP0387,714834,1,1,2014
SP0388,219238,1,1,2014
SP0394,77358,1,1,2014
SP0396,1110502,1,1,2014
SP0398,94000,1,1,2014
SP0399,102024,1,1,2014
SP0400,257000,1,1,2014
SP0401,15000,1,1,2014
SP0402,20103,1,1,2014
SP0403,326412,1,1,2014
SP0406,375999,1,1,2014
SP0408,570000,1,1,2014
SP0409,661530,1,1,2014
SP0413,266000,1,1,2014
SP0417,241003,1,1,2014
SP0418,184487,1,1,2014
SP0420,97232,1,1,2014
SP0421,239930,1,1,2014
SP0422,470000,1,1,2014
SP0423,110000,1,1,2014
SP0426,65001,1,1,2014
SP0427,450000,1,1,2014
SP0428,155490,1,1,2014
SP0433,75000,1,1,2014
SP0434,376482,1,1,2014
SP0435,593002,1,1,2014
SP0440,671188,1,1,2014
SP0441,-270569,1,1,2014
SP0442,179963,1,1,2014
SP0443,146252,1,1,2014
SP0444,171902,1,1,2014
SP0445,295000,1,1,2014
SP0447,269027,1,1,2014
SP0448,208699,1,1,2014
SP0449,1095000,1,1,2014
SP0450,409009,1,1,2014
SP0451,137795,1,1,2014
SP0456,1091898,1,1,2014
SP0462,216176,1,1,2014
SP0464,390000,1,1,2014
SP0466,2109396,1,1,2014
SP0467,328063,1,1,2014
SP0470,122795,1,1,2014
SP0472,884002,1,1,2014
SP0473,551559,1,1,2014
SP0474,199809,1,1,2014
SP0475,122975,1,1,2014
SP0476,,1,1,2014
SP0477,1750001,1,1,2014
SP0478,96709,1,1,2014
SP0479,101812,1,1,2014
SP0480,301000,1,1,2014
SP0482,103120,1,1,2014
SP0483,151978,1,1,2014
SP0485,214394,1,1,2014
SP0486,363250,1,1,2014
SP0487,345000,1,1,2014
SP0488,297520,1,1,2014
SP0491,121149,1,1,2014
SP0496,220000,1,1,2014
SP0499,36000,1,1,2014
SP0500,185133,1,1,2014
SP0503,2564,1,1,2014
SP0504,7949,1,1,2014
SP0505,250725,1,1,2014
SP0506,315500,1,1,2014
SP0507,344725,1,1,2014
SP0509,280729,1,1,2014
SP0510,75550,1,1,2014
SP0511,373447,1,1,2014
SP0512,245000,1,1,2014
SP0513,530003,1,1,2014
SP0514,430000,1,1,2014
SP0519,215744,1,1,2014
SP0520,244153,1,1,2014
SP0521,179000,1,1,2014
SP0522,240000,1,1,2014
SP0524,89362,1,1,2014
SP0526,249000,1,1,2014
SP0529,134281,1,1,2014
SP0530,258504,1,1,2014
SP0533,65000,1,1,2014
SP0534,1045000,1,1,2014
SP0536,43077,1,1,2014
SP0542,261000,1,1,2014
SP0543,204000,1,1,2014
SP0546,119466,1,1,2014
SP0547,229000,1,1,2014
SP0552,38622,1,1,2014
SP0553,123650,1,1,2014
SP0554,359000,1,1,2014
SP0555,159974,1,1,2014
SP0556,151627,1,1,2014
SP0560,284816,1,1,2014
SP0561,109882,1,1,2014
SP0562,155737,1,1,2014
SP0563,1023334,1,1,2014
SP0565,219997,1,1,2014
SP0567,302981,1,1,2014
SP0570,295000,1,1,2014
SP0572,196000,1,1,2014
SP0575,230000,1,1,2014
SP0576,15898,1,1,2014
SP0577,341000,1,1,2014
SP0578,100002,1,1,2014
SP0579,146334,1,1,2014
SP0580,115367,1,1,2014
SP0583,280205,1,1,2014
SP0584,482000,1,1,2014
SP0585,226102,1,1,2014
SP0586,99876,1,1,2014
SP0587,153512,1,1,2014
SP0592,100000,1,1,2014
SP0598,463360,1,1,2014
SP0599,212750,1,1,2014
SP0601,129998,1,1,2014
SP0602,413446,1,1,2014
SP0603,90000,1,1,2014
SP0605,65400,1,1,2014
SP0606,,1,1,2014
SP0607,870000,1,1,2014
SP0610,540000,1,1,2014
SP0616,102606,1,1,2014
SP0618,194000,1,1,2014
SP0619,79999,1,1,2014
SP0620,235000,1,1,2014
SP0623,143051,1,1,2014
SP0627,156000,1,1,2014
SP0630,380513,1,1,2014
SP0631,433282,1,1,2014
SP0632,276866,1,1,2014
SP0634,215000,1,1,2014
SP0637,241740,1,1,2014
SP0642,35283,1,1,2014
SP0643,215000,1,1,2014
SP0644,490000,1,1,2014
SP0645,234000,1,1,2014
SP0646,177828,1,1,2014
SP0647,49460,1,1,2014
SP0648,-15140,1,1,2014
SP0650,240997,1,1,2014
SP0652,50000,1,1,2014
SP0655,62692,1,1,2014
SP0657,72914,1,1,2014
SP0661,176937,1,1,2014
SP0663,5000,1,1,2014
SP0667,29000,1,1,2014
SP0669,165909,1,1,2014
SP0672,117000,1,1,2014
SP0673,305359,1,1,2014
SP0674,153051,1,1,2014
SP0675,318667,1,1,2014
SP0676,259658,1,1,2014
SP0684,43333,1,1,2014
SP0691,38692,1,1,2014
SP0695,740256,1,1,2014
SP0699,55890,1,1,2014
SP0724,35851,1,1,2014
SP0744,250000,1,1,2014
SP0745,284000,1,1,2014
SP0746,141500,1,1,2014
SP0747,346333,1,1,2014
SP0748,145000,1,1,2014
SP0750,480400,1,1,2014
SP0753,242000,1,1,2014
SP0756,200000,1,1,2014
SP0767,80000,1,1,2014
SP0768,154734,1,1,2014
SP0769,126684,1,1,2014
SP0770,147420,1,1,2014
SP0771,136000,1,1,2014
SP0780,110000,1,1,2014
SP0781,140000,1,1,2014
SP0789,310000,1,1,2014
SP0792,435767,1,1,2014
SP0807,,1,1,2014
SP0810,100282,1,1,2014
SP0811,6000,1,1,2014
SP0812,80600,1,1,2014
SP0813,262426,1,1,2014
SP0814,,1,1,2014
SP0816,199254,1,1,2014
SP0817,58000,1,1,2014
SP0818,168716,1,1,2014
SP0819,113334,1,1,2014
SP0820,,1,1,2014
SP0821,201667,1,1,2014
SP0822,99703,1,1,2014
SP0823,60837,1,1,2014
SP0824,231311,1,1,2014
SP0827,129156,1,1,2014
SP0828,136799,1,1,2014
SP0829,67000,1,1,2014
SP0830,179000,1,1,2014
SP0831,184667,1,1,2014
SP0832,20805,1,1,2014
SP0833,207334,1,1,2014
SP0834,84434,1,1,2014
SP0835,264751,1,1,2014
SP0836,155247,1,1,2014
SP0838,127772,1,1,2014
SP0840,460500,1,1,2014
SP0841,62190,1,1,2014
SP0842,166262,1,1,2014
SP0843,213996,1,1,2014
SP0844,80785,1,1,2014
SP0845,102128,1,1,2014
SP0846,121000,1,1,2014
SP0847,132722,1,1,2014
SP0848,80400,1,1,2014
SP0849,136000,1,1,2014
SP0850,240000,1,1,2014
SP0851,51968,1,1,2014
SP0881,205000,1,1,2014
SP0882,205385,1,1,2014
SP0885,94331,1,1,2014
SP0886,152696,1,1,2014
SP0887,204000,1,1,2014
SP0888,160000,1,1,2014
SP0889,110000,1,1,2014
SP0890,83300,1,1,2014
SP0891,137262,1,1,2014
SP0894,86100,1,1,2014
SP0896,202308,1,1,2014
SP0897,193376,1,1,2014
SP0898,35000,1,1,2014
SP0899,36278,1,1,2014
SP0900,94107,1,1,2014
SP0901,84000,1,1,2014
SP0902,670000,1,1,2014
SP0905,183936,1,1,2014
SP0907,29000,1,1,2014
SP0908,47000,1,1,2014
SP0914,,1,1,2014
SP1026,,1,1,2014
SP1027,,1,1,2014
SP1030,,1,1,2014
SP1038,,1,1,2014
SP1039,,1,1,2014
SP1041,,1,1,2014
SP1045,,1,1,2014
SP1053,,1,1,2014
SP1055,705000,1,1,2014
SP1057,,1,1,2014
SP1065,,1,1,2014
SP1067,,1,1,2014
SP1070,,1,1,2014
SP1081,,1,1,2014
SP1086,,1,1,2014
SP1097,,1,1,2014
SP1105,,1,1,2014
SP1134,,1,1,2014
SP1135,,1,1,2014
SP1140,,1,1,2014
SP1142,,1,1,2014
SP1145,,1,1,2014
SP1153,,1,1,2014
SP1161,,1,1,2014
SP1167,,1,1,2014
SP1170,,1,1,2014
SP1172,,1,1,2014
SP1175,,1,1,2014
SP1176,,1,1,2014
SP1190,,1,1,2014
SP1194,,1,1,2014
SP1198,,1,1,2014
SP1199,,1,1,2014
SP1200,,1,1,2014
SP1204,,1,1,2014
SP1206,,1,1,2014
SP1208,,1,1,2014
SP1211,,1,1,2014
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
